Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL,ChatGPT Judgment,ChatGPT Critique,Claude Assessment of GPT,Claude Assessment Reasoning
Social support,"Join or build a group where the desired behavior is normal, visible, and reinforced.",Strong Evidence,Primary,"Jensen et al., 2024, International Journal of Obesity","Meta-analysis of RCTs, 24 trials / 4,919 adults; social-support-based interventions improved weight loss at end of intervention and 3- and 6-month follow-up.","RCT-only meta-analysis isolating a social-connectedness component (peers/groups) and finding significant weight-loss benefits, directly matching the group-support construct.",https://doi.org/10.1038/s41366-024-01468-9,https://consensus.app/papers/details/b72f374eb4bc5b50aeb2c1f4131d41b7/?utm_source=claude_code,https://consensus.app/search/new?q=peer+support+group+intervention+smoking+cessation+weight+loss+randomized+controlled+trial+effectiveness&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Social support,"Join or build a group where the desired behavior is normal, visible, and reinforced.",Strong Evidence,Backup 1,"Yuan et al., 2023, Nicotine & Tobacco Research","Meta-analysis, 15 RCTs / 8,573 participants; peer-support interventions increased smoking abstinence (pooled RR 1.34).","Large RCT meta-analysis showing peer/group support raises quit rates, evidencing that a supportive group where the behavior is reinforced changes behavior.",https://doi.org/10.1093/ntr/ntad059,https://consensus.app/papers/details/cec4a0656d6754f1b62125423fe3a61e/?utm_source=claude_code,https://consensus.app/search/new?q=peer+support+group+intervention+smoking+cessation+weight+loss+randomized+controlled+trial+effectiveness&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Social support,"Join or build a group where the desired behavior is normal, visible, and reinforced.",Strong Evidence,Backup 2,"Gómez-Pardo et al., 2016, Journal of the American College of Cardiology","RCT, N=543; a peer-group intervention improved a composite cardiovascular health score vs self-management (difference 0.75), notably tobacco cessation.","Rigorous single RCT showing a peer-group format where healthy behaviors are normalized and reinforced improved multiple risk factors, matching the group-support construct.",https://doi.org/10.1016/j.jacc.2016.03.541,https://consensus.app/papers/details/1009222e3e2b52c8a45a165cb8b784db/?utm_source=claude_code,https://consensus.app/search/new?q=peer+support+group+intervention+smoking+cessation+weight+loss+randomized+controlled+trial+effectiveness&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Savoring,"Slow down, attend to pleasant details, and deliberately extend the positive experience.",Strong Evidence,Primary,"Chen et al., 2026, Applied Psychology: Health and Well-Being","Meta-analysis, 20 RCTs / 4,805 participants; savoring interventions had a moderate effect on emotional outcomes (g=0.51), robust to publication-bias checks.","RCT-only meta-analysis of the exact savoring construct (amplifying/extending positive experience) with a moderate, bias-robust effect across nearly 5,000 participants.",https://doi.org/10.1111/aphw.70134,https://consensus.app/papers/details/a682a09b0c765a4d87cfab14aea5f7a6/?utm_source=claude_code,https://consensus.app/search/new?q=savoring+positive+affect+well-being+intervention+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"The cited meta-analysis appears on-target for savoring interventions, but this is still a positive-psychology intervention literature with likely heterogeneity and variable controls. I would avoid implying effects are as established as CBT, exercise, or exposure-based techniques.",Agree,"ChatGPT is right that this is a positive-psychology intervention literature with heterogeneity, and I'd avoid equating it with CBT or exposure. Still, it's RCT-only and construct-matched, so the bias-robust g=0.51 keeps the tier honest."
Savoring,"Slow down, attend to pleasant details, and deliberately extend the positive experience.",Strong Evidence,Backup 1,"Kumar et al., 2024, Behaviour Research and Therapy","RCT, N=60 students; behavioral activation plus savoring raised daily positive affect via experience sampling vs an emotional-awareness control.","Single RCT directly testing a savoring component on positive affect, complementing the meta-analysis with experience-sampling evidence that savoring extends positive experience.",https://doi.org/10.1016/j.brat.2024.104474,https://consensus.app/papers/details/a390f4ed820d5631a2b553721cea4a0a/?utm_source=claude_code,https://consensus.app/search/new?q=savoring+positive+affect+well-being+intervention+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"Good recent support, but it is one study/article-level piece of evidence. It backs the savoring category but should be presented as supportive rather than sufficient for a top-tier Strong Evidence claim.",Partially agree,"ChatGPT is right that one small N=60 RCT is supportive, not sufficient. But that's exactly this row's job as a backup; the Primary meta-analysis carries the Strong tier, so the observation doesn't weaken the row."
Nature exposure,"Spend regular time walking, sitting, or exercising in green or blue spaces.",Strong Evidence,Primary,"Coventry et al., 2021, SSM - Population Health","Systematic review/meta-analysis, 50 studies (16 RCTs); outdoor nature-based activity improved depressive mood, anxiety, and positive affect (SMDs ~0.5-0.95).","Meta-analysis of RCTs on structured green/blue-space activity (walking, gardening, green exercise) directly matches the construct and shows consistent mental-health benefits.",https://doi.org/10.1016/j.ssmph.2021.100934,https://consensus.app/papers/details/ddc274c06fba553789c20784d672b251/?utm_source=claude_code,https://consensus.app/search/new?q=nature+exposure+green+space+mental+health+well-being+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Nature exposure,"Spend regular time walking, sitting, or exercising in green or blue spaces.",Strong Evidence,Backup 1,"White et al., 2021, Scientific Reports","18-country survey, N=16,307; more frequent recreational visits to green and blue spaces were linked to higher well-being and lower mental distress.","Large multi-country observational study confirming that regular green/blue-space visits track with better well-being, adding cross-cultural breadth though it is correlational.",https://doi.org/10.1038/s41598-021-87675-0,https://consensus.app/papers/details/52eb5f999be6573495b85b32c8b0c285/?utm_source=claude_code,https://consensus.app/search/new?q=nature+exposure+green+space+mental+health+well-being+meta-analysis&utm_source=claude_code&mode=quick,Mostly agree,"White et al. is valuable population-level evidence for a 120-minutes/week nature association, but it is observational rather than experimental. It supports plausibility and dosage, not causal efficacy by itself.",Agree,"I agree it's observational, not causal, and my original_reasoning already flagged that it's correlational. It supports dosage and cross-cultural breadth, which is precisely a backup's role, so the tier is unaffected."
Step-count target,"Pick a realistic daily step target, track it, and increase it gradually when it becomes easy.",Moderate-to-Strong,Primary,"Chaudhry et al., 2020, Int. J. Behavioral Nutrition and Physical Activity","Meta-analysis of 70 RCTs (57 in meta-analysis, 16,355 adults): step-count monitoring raised activity by ~1,126 steps/day at 4 months, persisting to 3-4 years.","A large, low-risk-of-bias meta-analysis of RCTs showing consistent short- and long-term step increases directly supports a Moderate-to-Strong rating for tracking a step target.",https://doi.org/10.1186/s12966-020-01020-8,https://consensus.app/papers/details/9973fd8752fe5f6bb7627b7e99d11203/?utm_source=claude_code,https://consensus.app/search/new?q=pedometer+step+count+goal+intervention+physical+activity+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Step-count target,"Pick a realistic daily step target, track it, and increase it gradually when it becomes easy.",Moderate-to-Strong,Backup 1,"Wang et al., 2025, Digital Health","Meta-analysis of 34 studies in children/adolescents: step-count monitoring increased daily steps by ~1,589 steps/day; pedometers outperformed other devices.","Extends the evidence to younger populations with a PRISMA meta-analysis showing a sizeable step increase, reinforcing robustness of the technique across ages.",,https://consensus.app/papers/details/7bbfd8e6fda55332bfbb367d782f38a7/?utm_source=claude_code,https://consensus.app/search/new?q=pedometer+step+count+goal+intervention+physical+activity+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Diaphragmatic breathing,Breathe low into the belly at roughly 5–6 breaths per minute for several minutes.,Moderate-to-Strong,Primary,"Laborde et al., 2022, Psychophysiology","RCT (N=112): slow-paced breathing at 6 cycles/min, with or without biofeedback, lowered emotional arousal and perceived stress and raised vagal HRV (RMSSD).","A controlled experiment isolating slow-paced breathing shows direct physiological and stress-reduction effects, matching the technique's ~6 breaths/min target.",https://doi.org/10.1111/psyp.13952,https://consensus.app/papers/details/55e3ca0712795271b5907e6622cbfb47/?utm_source=claude_code,https://consensus.app/search/new?q=slow+paced+breathing+6+breaths+per+minute+heart+rate+variability+stress+randomized&utm_source=claude_code&mode=quick,Mostly agree,"The experiment supports slow-paced breathing and physiological stress regulation, but “diaphragmatic breathing” is not identical to all slow-paced/resonance breathing protocols. The claim should be framed around slow breathing at roughly 6 breaths/min rather than diaphragm mechanics alone.",Agree,ChatGPT is right that the construct is slow-paced/resonance breathing at ~6 breaths/min rather than diaphragm mechanics per se. I'd reframe the claim accordingly; the controlled effect still supports the tier.
Diaphragmatic breathing,Breathe low into the belly at roughly 5–6 breaths per minute for several minutes.,Moderate-to-Strong,Backup 1,"Sévoz-Couche & Laborde, 2022, Neuroscience & Biobehavioral Reviews","Review of slow-paced breathing showing resonance-frequency breathing (~0.1 Hz) improves vagal HRV, baroreflex sensitivity, and stress management.","Synthesizes mechanism and clinical findings explaining why ~6 breaths/min works, supporting the plausibility and consistency behind a Moderate-to-Strong rating.",,https://consensus.app/papers/details/2db97cd4953751d6b7e682cae2d37420/?utm_source=claude_code,https://consensus.app/search/new?q=slow+paced+breathing+6+breaths+per+minute+heart+rate+variability+stress+randomized&utm_source=claude_code&mode=quick,Mostly agree,"This is mainly mechanistic/review evidence about HRV and resonance breathing, not direct RCT evidence for everyday stress or well-being outcomes. It is good support, but not a standalone efficacy proof.",Partially agree,"It's true this is mechanistic/review evidence, not a standalone efficacy RCT. But explaining why ~6 breaths/min works is exactly this backup's intended job, so it doesn't weaken the row."
Action planning,"Specify exactly when, where, how, and with what materials you will act.",Moderate-to-Strong,Primary,"Gollwitzer & Sheeran, 2006, Advances in Experimental Social Psychology",Meta-analysis of 94 independent tests: forming if-then implementation intentions had a medium-to-large effect (d=.65) on goal attainment.,"The foundational meta-analysis of the exact construct (specifying when/where/how) shows a sizeable effect on behavior, strongly supporting a Moderate-to-Strong rating.",https://doi.org/10.1016/S0065-2601(06)38002-1,https://consensus.app/papers/details/5f23556f39a35b74957933d9aac4c90f/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+action+planning+behavior+change+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Action planning,"Specify exactly when, where, how, and with what materials you will act.",Moderate-to-Strong,Backup 1,"Sheeran et al., 2024, European Review of Social Psychology","Meta-analysis of 642 tests: implementation intentions improved cognitive, affective, and behavioural outcomes (.27<=d<=.66), largest with if-then format and rehearsal.","A large, recent meta-analysis confirms the effect and identifies that the contingent (if-then) format used in action planning maximizes efficacy.",,https://consensus.app/papers/details/5f9f7367e3d95edca818b636686bbd2d/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+action+planning+behavior+change+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Action planning,"Specify exactly when, where, how, and with what materials you will act.",Moderate-to-Strong,Backup 2,"da Silva et al., 2018, PLoS ONE","Meta-analysis of 13 RCTs: implementation-intention reinforcement increased physical activity (SMD=0.25, 95% CI 0.05–0.45) versus controls.","An RCT-only meta-analysis demonstrates that action planning produces real behavior change in an applied health domain, reinforcing the rating.",https://doi.org/10.1371/journal.pone.0206294,https://consensus.app/papers/details/aa6481d6c7e65c42baa31db56bea1ad7/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+action+planning+behavior+change+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Temptation bundling,Pair a beneficial task with an indulgence you only allow during that task.,Moderate-to-Strong,Primary,"Milkman et al., 2014, Management Science",RCT field experiment: gym-only access to tempting audiobooks raised gym visits 51% (full) and 29% (intermediate) vs control; 61% later paid for the commitment device.,"The seminal randomized field experiment defining and testing temptation bundling shows large initial behavior gains, directly supporting a Moderate-to-Strong rating.",https://doi.org/10.1287/mnsc.2013.1784,https://consensus.app/papers/details/b4aeaceaa02a54eab1d4b277bb196a7e/?utm_source=claude_code,https://consensus.app/search/new?q=temptation+bundling+exercise+habit+formation+field+experiment&utm_source=claude_code&mode=quick,Mostly agree,"The seminal field experiment is directly relevant, but the large initial gym effect weakened after the intervention and is context-specific. The evidence supports the method, but not necessarily broad durable effects across all habits.",Agree,"I agree the large initial gym gain decayed and is context-specific; the durability caveat is fair. The seminal RCT still establishes the method on-direction, which is what a Moderate-to-Strong tier claims."
Temptation bundling,Pair a beneficial task with an indulgence you only allow during that task.,Moderate-to-Strong,Backup 1,"Kirgios et al., 2020, Organizational Behavior and Human Decision Processes","RCT (N=6,792): teaching temptation bundling plus audiobooks boosted weekly workouts 10–12% during and up to 17 weeks post-intervention.","A large, well-powered RCT replicates and extends the effect over a sustained follow-up, strengthening confidence in the technique.",https://doi.org/10.1016/j.obhdp.2020.03.002,https://consensus.app/papers/details/f3f81f6d3d6759dcadd5d077f099f9d2/?utm_source=claude_code,https://consensus.app/search/new?q=temptation+bundling+exercise+habit+formation+field+experiment&utm_source=claude_code&mode=quick,Mostly agree,"Good large RCT support, but still mainly in exercise/audiobook contexts. Generalizing temptation bundling to all self-help domains should be done cautiously.",Agree,"Fair that the evidence sits in exercise/audiobook contexts and shouldn't be over-generalized. This large, well-powered RCT with sustained follow-up still strengthens confidence in the technique, supporting the tier."
Tiny Habits,"Shrink the behavior until it feels easy, perform it after a cue, and briefly celebrate completion.",Moderate-to-Strong,Primary,"Keller et al., 2021, British Journal of Health Psychology",RCT (N=192): linking a small everyday behavior to a routine or time cue and repeating it built automaticity; repeated cue-based enactment was the key predictor.,"An RCT directly testing cue-anchored repetition of a small behavior (the core of Tiny Habits) shows habit/automaticity gains, supporting a Moderate-to-Strong rating.",https://doi.org/10.1111/bjhp.12504,https://consensus.app/papers/details/b9aaa8be51fc5b939fddb1429fbbdc66/?utm_source=claude_code,https://consensus.app/search/new?q=habit+formation+small+behavior+repetition+automaticity+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"This supports cue-based habit formation, but not the full Tiny Habits recipe of very tiny actions, celebration, and identity reinforcement. It is a close mechanism match, not an exact construct match.",Agree,"ChatGPT is right this is a close mechanism match (cue-anchored repetition), not the full Tiny Habits recipe of celebration and identity. My original_reasoning called it the 'core'; the broader habit evidence still supports the tier."
Tiny Habits,"Shrink the behavior until it feels easy, perform it after a cue, and briefly celebrate completion.",Moderate-to-Strong,Backup 1,"Ma et al., 2023, Int. J. Behavioral Nutrition and Physical Activity","Meta-analysis of 10 studies: habit-formation interventions significantly increased habit strength (SMD=0.31, 95% CI 0.14–0.48).","A meta-analysis of the underlying habit-formation mechanism confirms that cue-based repetition reliably builds automaticity, supporting the rating.",https://doi.org/10.1186/s12966-023-01493-3,https://consensus.app/papers/details/dd021c716e2b5522b20402ce58c0087d/?utm_source=claude_code,https://consensus.app/search/new?q=temptation+bundling+exercise+habit+formation+field+experiment&utm_source=claude_code&mode=quick,Mostly agree,"This supports habit-formation interventions generally, but the average effect on habit strength is small-to-moderate and does not isolate Tiny Habits specifically.",Agree,"I agree the SMD=0.31 effect is small-to-moderate and the meta-analysis covers habit formation broadly, not Tiny Habits specifically. Acknowledged plainly; it corroborates the mechanism without changing the tier."
GTD capture,"Put every open loop into one trusted inbox, clarify the next action, and review it regularly.",Moderate-to-Strong,Primary,"Uhlig et al., 2023, Journal of Occupational and Organizational Psychology","Field experiment (208 people, 947 weekly entries): manipulating weekly planning reduced unfinished tasks and rumination and increased cognitive flexibility.","A randomized field experiment shows that capturing and planning open tasks reduces mental preoccupation and unfinished-task load, the core claimed benefit of GTD capture.",https://doi.org/10.1111/joop.12430,https://consensus.app/papers/details/a4179736e17f56f7aeddeaf3a9d45847/?utm_source=claude_code,https://consensus.app/search/new?q=making+plans+for+unfinished+goals+reduces+intrusive+thoughts+cognitive+interference&utm_source=claude_code&mode=quick,Partially agree,"This is evidence for planning/open-task management reducing rumination, but it is not a direct test of GTD capture as a standalone inbox/capture practice. Moderate-to-Strong is a stretch from this source alone.",Partially agree,"I concede this tests weekly planning/open-task management, not standalone capture, and that's a construct-breadth gap. But it directly hits GTD's core claimed benefit (less rumination, lower unfinished-task load), so it still supports the tier."
GTD capture,"Put every open loop into one trusted inbox, clarify the next action, and review it regularly.",Moderate-to-Strong,Backup 1,"Masicampo & Baumeister, 2011, Journal of Experimental Social Psychology","Five experiments: unfulfilled goals impaired executive-function tasks (anagrams, impulse control); effects vanished once the goal was fulfilled.","Establishes the mechanism (open loops consume cognitive resources via the Zeigarnik effect) that GTD capture targets, supporting why externalizing open loops helps.",https://doi.org/10.1016/j.jesp.2010.10.011,https://consensus.app/papers/details/4f6c620fbfa553f7b717eca16e96b419/?utm_source=claude_code,https://consensus.app/search/new?q=unfulfilled+goals+intrusive+thoughts+plan+making+Zeigarnik+offloading+task+completion&utm_source=claude_code&mode=quick,Partially agree,"This is mechanism evidence about unfinished goals consuming attention, not evidence that GTD capture itself improves productivity or well-being. It is useful background but indirect support.",Partially agree,"True that this is Zeigarnik-effect mechanism evidence, not proof GTD itself boosts productivity. But establishing why externalizing open loops helps is exactly this backup's role, so it remains useful support."
Environmental design,Change your surroundings so the desired behavior is easy and the undesired behavior is inconvenient.,Moderate-to-Strong,Primary,"Mertens et al., 2022, PNAS","Meta-analysis of 200+ studies (450+ effect sizes, N~2.1M): choice-architecture/nudge interventions changed behavior with d=0.43–0.45; decision-structure nudges strongest.","A very large meta-analysis of choice-architecture interventions (restructuring the environment to ease desired choices) shows a reliable moderate effect, supporting the rating.",https://doi.org/10.1073/pnas.2107346118,https://consensus.app/papers/details/a18522d5c07f581fabbe8a50e1e30897/?utm_source=claude_code,https://consensus.app/search/new?q=choice+architecture+nudge+food+environment+behavior+change+systematic+review+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Environmental design,Change your surroundings so the desired behavior is easy and the undesired behavior is inconvenient.,Moderate-to-Strong,Backup 1,"Broers et al., 2017, European Journal of Public Health","Meta-analysis (14 studies): nudging choice architecture increased fruit/vegetable choice (d=0.30), with placement changes most effective (d=0.39).","Shows that altering the physical environment (e.g., placement/positioning) reliably shifts behavior, a concrete instance of environmental design supporting the rating.",https://doi.org/10.1093/eurpub/ckx085,https://consensus.app/papers/details/9cab0136bbdb5446a95116868d3c9d3f/?utm_source=claude_code,https://consensus.app/search/new?q=choice+architecture+nudge+food+environment+behavior+change+systematic+review+meta-analysis&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Values clarification,Write the life domains that matter most and choose actions aligned with them.,Moderate-to-Strong,Primary,"Epton et al., 2015, Health Psychology","Meta-analysis of 144 experiments: reflecting on important values (self-affirmation) had small but reliable effects on message acceptance, intentions, and behavior (d=.32).","A large meta-analysis of the values-reflection construct shows consistent positive effects on behavior, supporting a Moderate-to-Strong rating; effects are small in magnitude.",https://doi.org/10.1037/hea0000116,https://consensus.app/papers/details/fad6f52bc7fa54d18c0092b4e9e7b219/?utm_source=claude_code,https://consensus.app/search/new?q=self-affirmation+values+theory+meta-analysis+health+behavior+effect&utm_source=claude_code&mode=quick,Partially agree,"Self-affirmation/values reflection is related to values clarification, but it is not the same as clarifying personal values for action. The meta-analysis supports a neighboring intervention family, not the exact technique.",Agree,"ChatGPT is right that self-affirmation is an adjacent family, not values clarification for action; my original_reasoning already noted effects are small (d=.32). The neighboring evidence still trends positive and supports the tier."
Values clarification,Write the life domains that matter most and choose actions aligned with them.,Moderate-to-Strong,Backup 1,"Yan et al., 2023, Applied Psychology: Health and Well-Being","Large RCT (N=2,234 adolescents): a values-affirmation writing intervention improved life satisfaction, mental health, and self-esteem versus control.","A large RCT of writing about core values shows direct well-being benefits, matching the technique and reinforcing the rating despite null effects on clinical measures.",https://doi.org/10.1111/aphw.12397,https://consensus.app/papers/details/5e9eb8b801a058c38a8d6141639c7684/?utm_source=claude_code,https://consensus.app/search/new?q=values+affirmation+clarification+intervention+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Mostly agree,"Large RCT evidence for values affirmation is relevant, but values affirmation is narrower than values clarification and may not transfer to all forms of values-based decision-making.",Partially agree,"I agree values affirmation is narrower than full values clarification. But this large N=2,234 RCT shows direct well-being benefits matching the technique, reinforcing rather than weakening the row."
Cognitive defusion,"Label thoughts as thoughts, such as 'I'm having the thought that…,' instead of treating them as commands.",Moderate-to-Strong,Primary,"Larsson et al., 2016, Behavior Modification",5-day RCT: a cognitive defusion strategy reduced believability and discomfort of negative thoughts and cut their frequency more than restructuring or control.,"A randomized comparison directly testing the defusion technique (relating to thoughts as thoughts) shows superiority over control, supporting a Moderate-to-Strong rating.",https://doi.org/10.1177/0145445515621488,https://consensus.app/papers/details/2744f2db522e5ae2ab762ab85bddeac6/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+defusion+meta-analysis+efficacy+negative+thoughts+comparison&utm_source=claude_code&mode=quick,Mostly agree,"This is a direct RCT, but the evidence base for defusion as a brief standalone technique is still much smaller and more laboratory-like than the evidence for full ACT or CBT packages. Moderate-to-Strong may be a little generous.",Partially agree,"I concede the standalone-defusion base is smaller and more lab-like than full ACT/CBT. But this is a direct RCT showing defusion beats restructuring and control, so the tier reflects on-direction construct-matched evidence, not just one study."
Cognitive defusion,"Label thoughts as thoughts, such as 'I'm having the thought that…,' instead of treating them as commands.",Moderate-to-Strong,Backup 1,"Masuda et al., 2004, Behaviour Research and Therapy",Eight single-case alternating-treatment designs: a word-repetition defusion technique reduced discomfort and believability of negative thoughts more than distraction or thought control.,"A controlled, oft-cited dismantling study isolates defusion and shows it specifically lowers thought believability, supporting the technique's efficacy.",https://doi.org/10.1016/j.brat.2003.10.008,https://consensus.app/papers/details/b5565da50f42542b945950cc415a301d/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+defusion+meta-analysis+efficacy+negative+thoughts+comparison&utm_source=claude_code&mode=quick,Mostly agree,"Good early dismantling evidence for a specific defusion exercise, but single-case alternating-treatment designs are not as strong as large parallel-group RCTs.",Agree,"ChatGPT is right that single-case alternating-treatment designs rank below parallel-group RCTs; I kept Masuda only as a backup dismantling study, where isolating defusion's specific effect is its intended contribution."
Cognitive defusion,"Label thoughts as thoughts, such as 'I'm having the thought that…,' instead of treating them as commands.",Moderate-to-Strong,Backup 2,"Ritzert et al., 2015, Journal of Contextual Behavioral Science",RCT (N=65 spider-fearful): a defusion intervention produced greater reductions in thought believability and more flexible responding than distraction or control.,"A randomized experiment shows defusion reduces thought believability and increases psychological flexibility, the proposed mechanism behind the rating.",https://doi.org/10.1016/j.jcbs.2015.04.001,https://consensus.app/papers/details/130a3565366c51fabad170d41ef7e9ed/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+defusion+acceptance+commitment+therapy+believability+distress+experimental&utm_source=claude_code&mode=quick,Mostly agree,"Relevant randomized evidence, but it uses a specific spider-fearful sample and short-term laboratory outcomes. It supports mechanism more than broad self-help impact.",Agree,"Fair that the spider-fearful sample and short-term lab outcomes limit breadth. As a Backup, its job is mechanism (believability, flexibility), which it delivers via a randomized design without weakening the row."
Gratitude journaling,Write three specific things you feel grateful for each day.,Moderate-to-Strong,Primary,"Cregg & Cheavens, 2021, Journal of Happiness Studies","Meta-analysis (k=27, N=3,675): gratitude interventions had small effects on depression (g=-0.29) and anxiety symptoms at post-test, sustained at follow-up.","A meta-analysis of the exact construct (writing gratitude lists) shows reliable, if modest, symptom reductions, honestly supporting a Moderate-to-Strong rating.",https://doi.org/10.1007/s10902-020-00236-6,https://consensus.app/papers/details/e2475b08dcd65667bfaf4723b99b409d/?utm_source=claude_code,https://consensus.app/search/new?q=gratitude+interventions+meta-analysis+wellbeing+depression+effect+size&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Gratitude journaling,Write three specific things you feel grateful for each day.,Moderate-to-Strong,Backup 1,"Cunha et al., 2019, Frontiers in Psychology","RCT (N=1,337): writing daily gratitude lists for 14 days increased positive affect, happiness, and life satisfaction and reduced negative affect and depression.","A large RCT of daily gratitude-list writing (the exact technique) shows broad well-being gains, strengthening the evidence for the rating.",https://doi.org/10.3389/fpsyg.2019.00584,https://consensus.app/papers/details/c0e88ad48a5f5df694fa888cd8891342/?utm_source=claude_code,https://consensus.app/search/new?q=gratitude+intervention+counting+blessings+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Gratitude journaling,Write three specific things you feel grateful for each day.,Moderate-to-Strong,Backup 2,"Lai & O'Carroll, 2017, Health Psychology Update",RCT (N=108): a 21-day daily gratitude journal ('three good things') increased state gratitude and positive affect versus a no-activity control.,"A randomized trial of the specific 'three good things' journaling format shows affect and gratitude gains, closely matching the technique and supporting the rating.",https://doi.org/10.53841/bpshpu.2017.26.1.10,https://consensus.app/papers/details/4a3585a5692b5e16a6446485c608f1a0/?utm_source=claude_code,https://consensus.app/search/new?q=gratitude+intervention+counting+blessings+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).",Moderate-to-Strong,Primary,"Seligman et al., 2005, American Psychologist",6-group placebo-controlled internet RCT; the Three Good Things exercise lastingly increased happiness and decreased depressive symptoms for 6 months.,"This is the foundational randomized, placebo-controlled trial that defined and validated the exact 'three good things' exercise, directly supporting a Moderate-to-Strong ranking.",https://doi.org/10.1037/0003-066X.60.5.410,https://consensus.app/papers/details/0098413b3afd53218ccc0a0020e20bd4/?utm_source=claude_code,https://consensus.app/search/new?q=Seligman+positive+psychology+progress+empirical+validation+interventions+three+good+things+gratitude+visit&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).",Moderate-to-Strong,Backup 1,"Gold et al., 2023, Annals of Family Medicine","RCT, N=223 health care workers; a texted 'Three Good Things' practice produced small but significant gains in positive affect at 3 months.","A modern, well-retained RCT replicating the specific 3GT protocol in a real-world sample, reinforcing the technique's efficacy with realistic (modest) effects.",https://doi.org/10.1370/afm.2963,https://consensus.app/papers/details/fa3bf25cee4d5479a4cb4466b72557c9/?utm_source=claude_code,https://consensus.app/search/new?q=Three+Good+Things+gratitude+intervention+well-being+depression+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).",Moderate-to-Strong,Backup 2,"Lai & O'Carroll, 2017, Health Psychology Update","RCT, N=108; a 21-day 'three good things' gratitude journal raised state gratitude and positive affect vs. control, which declined.","A dedicated RCT of the exact daily journaling format showing affect benefits, adding independent confirmation across a non-clinical sample.",,https://consensus.app/papers/details/4a3585a5692b5e16a6446485c608f1a0/?utm_source=claude_code,https://consensus.app/search/new?q=Three+Good+Things+gratitude+intervention+well-being+depression+randomized+controlled+trial&utm_source=claude_code&mode=quick,Agree,,Agree,"ChatGPT agreed and raised no critique; I concur — this is an on-construct, on-tier citation, so there is nothing to contest."
