Technique,Description,Citation (Author, Year, Journal),Paper Title,DOI,URL
Lucky Girl Syndrome,Repeat that things tend to work out for you and look for opportunities that match the expectation.,"Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Scripting manifestation,Write a future scene as if the desired outcome has already happened.,"Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Binaural beats,Listen to two slightly different tones through headphones to try to induce a target mental state.,"Basu et al., 2022, Psychological Research",Potential of binaural beats intervention for improving memory and attention: insights from meta-analysis and systematic review,10.1007/s00426-022-01706-7,https://doi.org/10.1007/s00426-022-01706-7
Binaural beats,Listen to two slightly different tones through headphones to try to induce a target mental state.,"Leistiko et al., 2023, Current Psychology",Effects of gamma frequency binaural beats on attention and anxiety,10.1007/s12144-023-04681-3,https://doi.org/10.1007/s12144-023-04681-3
Brain training games,"Play cognitive games daily, but expect improvement mainly on trained or nearby tasks rather than broad intelligence.","Simons et al., 2016, Psych. Science in the Public Interest",Do “Brain-Training” Programs Work?,10.1177/1529100616661983,https://doi.org/10.1177/1529100616661983
Brain training games,"Play cognitive games daily, but expect improvement mainly on trained or nearby tasks rather than broad intelligence.","Nguyen et al., 2021, Neuropsychology Review",A Game a Day Keeps Cognitive Decline Away? A Systematic Review and Meta-Analysis of Commercially-Available Brain Training Programs in Healthy and Cognitively Impaired Older Adults,10.1007/s11065-021-09515-2,https://doi.org/10.1007/s11065-021-09515-2
"10,000-hour rule","Accumulate practice hours, but do not expect hours alone to overcome feedback quality, genetics, timing, and domain constraints.","Macnamara et al., 2014, Psychological Science","Deliberate Practice and Performance in Music, Games, Sports, Education, and Professions: A Meta-Analysis",10.1177/0956797614535810,https://doi.org/10.1177/0956797614535810
"10,000-hour rule","Accumulate practice hours, but do not expect hours alone to overcome feedback quality, genetics, timing, and domain constraints.","Macnamara et al., 2016, Perspectives on Psych. Science",The Relationship Between Deliberate Practice and Performance in Sports,10.1177/1745691616635591,https://doi.org/10.1177/1745691616635591
Polyphasic sleep,Split sleep into many short naps to reduce total sleep.,"Weaver et al., 2021, Sleep Health (Nat. Sleep Foundation)",Adverse impact of polyphasic sleep patterns in humans: Report of the National Sleep Foundation sleep timing and variability consensus panel,10.1016/j.sleh.2021.02.009,https://doi.org/10.1016/j.sleh.2021.02.009
369 method,"Write a desired outcome 3 times in the morning, 6 times midday, and 9 times at night.","Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Subliminal audio,Play affirming messages below conscious audibility while relaxing or sleeping.,"Greenwald et al., 1991, Psychological Science",Double-Blind Tests of Subliminal Self-Help Audiotapes,10.1111/j.1467-9280.1991.tb00112.x,https://doi.org/10.1111/j.1467-9280.1991.tb00112.x
Solfeggio frequencies,"Play tracks marketed as specific healing frequencies during meditation, rest, or work.","Bando et al., 2023, Int. J. Complementary & Alt. Medicine",Certain frequency music has attracted attention for possible effective healing,10.15406/ijcam.2023.16.00639,https://doi.org/10.15406/ijcam.2023.16.00639
Crystals for healing,Hold or display a crystal to balance energy or heal yourself.,"Escolà-Gascón et al., 2025, CNS Spectrums",Placebo effects in alternative medical treatments for anxiety: false hope or healing potential?,10.1017/S1092852925100515,https://doi.org/10.1017/S1092852925100515
Astrology planning,"Choose goals or timing based on horoscopes, signs, or transits.","Carlson, 1985, Nature",A double-blind test of astrology,10.1038/318419a0,https://doi.org/10.1038/318419a0
Numerology goals,"Select goals, dates, or habits based on personally meaningful numbers.","Rodríguez Garcés et al., 2019, Universitas Psychologica","Entre milagros, espíritus y esoterismo: pensamiento mágico y pseudociencia en el Chile globalizado del siglo XXI",10.11144/Javeriana.upsy18-4.emee,https://doi.org/10.11144/Javeriana.upsy18-4.emee
Law of Attraction,"Think, visualize, or 'vibrate' as if the desired outcome is inevitable or has already happened.","Dixon et al., 2025, Pers. & Social Psych. Bulletin",“The Secret” to Success? The Psychology of Belief in Manifestation,10.1177/01461672231181162,https://doi.org/10.1177/01461672231181162
Law of Attraction,"Think, visualize, or 'vibrate' as if the desired outcome is inevitable or has already happened.","Larsen et al., 2019, Alt. Spirituality & Religion Review",Positive Thinking,10.5840/asrr2019111160,https://doi.org/10.5840/asrr2019111160
Multitasking hack,Rapidly switch between tasks or media streams to get multiple things done at once.,"May & Elder, 2018, Int. J. Educ. Tech. in Higher Ed.","Efficient, helpful, or distracting? A literature review of media multitasking in relation to academic performance",10.1186/s41239-018-0096-z,https://doi.org/10.1186/s41239-018-0096-z
Detox cleanses,"Use juices, teas, fasting, or colon cleanses to 'flush toxins' from the body.","Klein & Kiat, 2015, J. Human Nutrition & Dietetics",Detox diets for toxin elimination and weight management: a critical review of the evidence,10.1111/jhn.12286,https://doi.org/10.1111/jhn.12286
