Technique,Description,Ranking,Role,Paper,Summary,Claude Reasoning,DOI URL,Consensus paper URL,Consensus search URL
Habit stacking,Attach a new behavior immediately after an existing reliable routine.,Strong Evidence,Backup 1,"Linnemayr et al., 2024, Journal of the International AIDS Society","RCT, N=155; anchoring pill-taking to an existing daily routine (plus incentives) raised adherence in line with the anchor by ~12-14 percentage points.","RCT applying the anchoring/habit-stacking strategy (pairing a new behavior with an existing routine) to medication adherence, showing durable gains that match the construct.",https://doi.org/10.1002/jia2.26199,https://consensus.app/papers/details/1f9dac987ca252dcbffa9fad6e50ffa3/?utm_source=claude_code,https://consensus.app/search/new?q=anchoring+new+habit+existing+routine+cue+habit+stacking+intervention&utm_source=claude_code&mode=quick
Default design,Make the good option the default and add extra steps to the bad option.,Strong Evidence,Primary,"Jachimowicz et al., 2019, Behavioural Public Policy","MA of 58 default studies / n=73,675 (on-target to defaults); d=0.68, with honest variability (a few null, two negative).",Construct-matched MA with a large average effect but real heterogeneity (some null/negative). That combination — strong but not universal — is precisely what a Moderate-to-Strong (not Strong) ranking should reflect.,https://doi.org/10.1017/bpp.2018.43,https://consensus.app/papers/details/3acd0367c8105d88858871badac1257d/?utm_source=claude_code,https://consensus.app/search/new?q=default+effect+choice+architecture+nudge+meta-analysis+behavioral+domains&utm_source=claude_code&mode=quick
Default design,Make the good option the default and add extra steps to the bad option.,Strong Evidence,Backup 1,"Mertens et al., 2021, PNAS","MA, 200+ studies / n≈2.1M; choice architecture d=0.43; decision-structure nudges (incl. defaults) strongest category.","Huge cross-domain MA confirms the broader family works and that defaults are its strongest sub-class — situating the technique among the better-evidenced behavioral tools, consistent with a high-but-not-top ranking.",https://doi.org/10.1073/pnas.2107346118,https://consensus.app/papers/details/a18522d5c07f581fabbe8a50e1e30897/?utm_source=claude_code,https://consensus.app/search/new?q=default+effect+choice+architecture+nudge+meta-analysis+behavioral+domains&utm_source=claude_code&mode=quick
Default design,Make the good option the default and add extra steps to the bad option.,Strong Evidence,Backup 2,"Davidai et al., 2012, PNAS",Classic opt-in vs opt-out organ-donation studies showing how large a participation shift a default produces.,"Demonstrates mechanism and magnitude in a high-stakes real-world setting, evidencing external validity — corroborates that defaults reliably move behavior.",https://doi.org/10.1073/pnas.1211695109,https://consensus.app/papers/details/881470850f5d512fbc283fcbd160444c/?utm_source=claude_code,https://consensus.app/search/new?q=automatic+enrollment+default+option+retirement+savings+organ+donation+participation+effect&utm_source=claude_code&mode=quick
Social support,"Join or build a group where the desired behavior is normal, visible, and reinforced.",Strong Evidence,Primary,"Jensen et al., 2024, International Journal of Obesity","Meta-analysis of RCTs, 24 trials / 4,919 adults; social-support-based interventions improved weight loss at end of intervention and 3- and 6-month follow-up.","RCT-only meta-analysis isolating a social-connectedness component (peers/groups) and finding significant weight-loss benefits, directly matching the group-support construct.",https://doi.org/10.1038/s41366-024-01468-9,https://consensus.app/papers/details/b72f374eb4bc5b50aeb2c1f4131d41b7/?utm_source=claude_code,https://consensus.app/search/new?q=peer+support+group+intervention+smoking+cessation+weight+loss+randomized+controlled+trial+effectiveness&utm_source=claude_code&mode=quick
Social support,"Join or build a group where the desired behavior is normal, visible, and reinforced.",Strong Evidence,Backup 1,"Yuan et al., 2023, Nicotine & Tobacco Research","Meta-analysis, 15 RCTs / 8,573 participants; peer-support interventions increased smoking abstinence (pooled RR 1.34).","Large RCT meta-analysis showing peer/group support raises quit rates, evidencing that a supportive group where the behavior is reinforced changes behavior.",https://doi.org/10.1093/ntr/ntad059,https://consensus.app/papers/details/cec4a0656d6754f1b62125423fe3a61e/?utm_source=claude_code,https://consensus.app/search/new?q=peer+support+group+intervention+smoking+cessation+weight+loss+randomized+controlled+trial+effectiveness&utm_source=claude_code&mode=quick
Social support,"Join or build a group where the desired behavior is normal, visible, and reinforced.",Strong Evidence,Backup 2,"Gómez-Pardo et al., 2016, Journal of the American College of Cardiology","RCT, N=543; a peer-group intervention improved a composite cardiovascular health score vs self-management (difference 0.75), notably tobacco cessation.","Rigorous single RCT showing a peer-group format where healthy behaviors are normalized and reinforced improved multiple risk factors, matching the group-support construct.",https://doi.org/10.1016/j.jacc.2016.03.541,https://consensus.app/papers/details/1009222e3e2b52c8a45a165cb8b784db/?utm_source=claude_code,https://consensus.app/search/new?q=peer+support+group+intervention+smoking+cessation+weight+loss+randomized+controlled+trial+effectiveness&utm_source=claude_code&mode=quick
Savoring,"Slow down, attend to pleasant details, and deliberately extend the positive experience.",Strong Evidence,Primary,"Chen et al., 2026, Applied Psychology: Health and Well-Being","Meta-analysis, 20 RCTs / 4,805 participants; savoring interventions had a moderate effect on emotional outcomes (g=0.51), robust to publication-bias checks.","RCT-only meta-analysis of the exact savoring construct (amplifying/extending positive experience) with a moderate, bias-robust effect across nearly 5,000 participants.",https://doi.org/10.1111/aphw.70134,https://consensus.app/papers/details/a682a09b0c765a4d87cfab14aea5f7a6/?utm_source=claude_code,https://consensus.app/search/new?q=savoring+positive+affect+well-being+intervention+randomized+controlled+trial&utm_source=claude_code&mode=quick
Savoring,"Slow down, attend to pleasant details, and deliberately extend the positive experience.",Strong Evidence,Backup 1,"Kumar et al., 2024, Behaviour Research and Therapy","RCT, N=60 students; behavioral activation plus savoring raised daily positive affect via experience sampling vs an emotional-awareness control.","Single RCT directly testing a savoring component on positive affect, complementing the meta-analysis with experience-sampling evidence that savoring extends positive experience.",https://doi.org/10.1016/j.brat.2024.104474,https://consensus.app/papers/details/a390f4ed820d5631a2b553721cea4a0a/?utm_source=claude_code,https://consensus.app/search/new?q=savoring+positive+affect+well-being+intervention+randomized+controlled+trial&utm_source=claude_code&mode=quick
Nature exposure,"Spend regular time walking, sitting, or exercising in green or blue spaces.",Strong Evidence,Primary,"Coventry et al., 2021, SSM - Population Health","Systematic review/meta-analysis, 50 studies (16 RCTs); outdoor nature-based activity improved depressive mood, anxiety, and positive affect (SMDs ~0.5-0.95).","Meta-analysis of RCTs on structured green/blue-space activity (walking, gardening, green exercise) directly matches the construct and shows consistent mental-health benefits.",https://doi.org/10.1016/j.ssmph.2021.100934,https://consensus.app/papers/details/ddc274c06fba553789c20784d672b251/?utm_source=claude_code,https://consensus.app/search/new?q=nature+exposure+green+space+mental+health+well-being+meta-analysis&utm_source=claude_code&mode=quick
Nature exposure,"Spend regular time walking, sitting, or exercising in green or blue spaces.",Strong Evidence,Backup 1,"White et al., 2021, Scientific Reports","18-country survey, N=16,307; more frequent recreational visits to green and blue spaces were linked to higher well-being and lower mental distress.","Large multi-country observational study confirming that regular green/blue-space visits track with better well-being, adding cross-cultural breadth though it is correlational.",https://doi.org/10.1038/s41598-021-87675-0,https://consensus.app/papers/details/52eb5f999be6573495b85b32c8b0c285/?utm_source=claude_code,https://consensus.app/search/new?q=nature+exposure+green+space+mental+health+well-being+meta-analysis&utm_source=claude_code&mode=quick
Step-count target,"Pick a realistic daily step target, track it, and increase it gradually when it becomes easy.",Moderate-to-Strong,Primary,"Chaudhry et al., 2020, Int. J. Behavioral Nutrition and Physical Activity","Meta-analysis of 70 RCTs (57 in meta-analysis, 16,355 adults): step-count monitoring raised activity by ~1,126 steps/day at 4 months, persisting to 3-4 years.","A large, low-risk-of-bias meta-analysis of RCTs showing consistent short- and long-term step increases directly supports a Moderate-to-Strong rating for tracking a step target.",https://doi.org/10.1186/s12966-020-01020-8,https://consensus.app/papers/details/9973fd8752fe5f6bb7627b7e99d11203/?utm_source=claude_code,https://consensus.app/search/new?q=pedometer+step+count+goal+intervention+physical+activity+meta-analysis&utm_source=claude_code&mode=quick
Step-count target,"Pick a realistic daily step target, track it, and increase it gradually when it becomes easy.",Moderate-to-Strong,Backup 1,"Wang et al., 2025, Digital Health","Meta-analysis of 34 studies in children/adolescents: step-count monitoring increased daily steps by ~1,589 steps/day; pedometers outperformed other devices.","Extends the evidence to younger populations with a PRISMA meta-analysis showing a sizeable step increase, reinforcing robustness of the technique across ages.",,https://consensus.app/papers/details/7bbfd8e6fda55332bfbb367d782f38a7/?utm_source=claude_code,https://consensus.app/search/new?q=pedometer+step+count+goal+intervention+physical+activity+meta-analysis&utm_source=claude_code&mode=quick
Diaphragmatic breathing,Breathe low into the belly at roughly 5–6 breaths per minute for several minutes.,Moderate-to-Strong,Primary,"Laborde et al., 2022, Psychophysiology","RCT (N=112): slow-paced breathing at 6 cycles/min, with or without biofeedback, lowered emotional arousal and perceived stress and raised vagal HRV (RMSSD).","A controlled experiment isolating slow-paced breathing shows direct physiological and stress-reduction effects, matching the technique's ~6 breaths/min target.",https://doi.org/10.1111/psyp.13952,https://consensus.app/papers/details/55e3ca0712795271b5907e6622cbfb47/?utm_source=claude_code,https://consensus.app/search/new?q=slow+paced+breathing+6+breaths+per+minute+heart+rate+variability+stress+randomized&utm_source=claude_code&mode=quick
Diaphragmatic breathing,Breathe low into the belly at roughly 5–6 breaths per minute for several minutes.,Moderate-to-Strong,Backup 1,"Sévoz-Couche & Laborde, 2022, Neuroscience & Biobehavioral Reviews","Review of slow-paced breathing showing resonance-frequency breathing (~0.1 Hz) improves vagal HRV, baroreflex sensitivity, and stress management.","Synthesizes mechanism and clinical findings explaining why ~6 breaths/min works, supporting the plausibility and consistency behind a Moderate-to-Strong rating.",,https://consensus.app/papers/details/2db97cd4953751d6b7e682cae2d37420/?utm_source=claude_code,https://consensus.app/search/new?q=slow+paced+breathing+6+breaths+per+minute+heart+rate+variability+stress+randomized&utm_source=claude_code&mode=quick
Action planning,"Specify exactly when, where, how, and with what materials you will act.",Moderate-to-Strong,Primary,"Gollwitzer & Sheeran, 2006, Advances in Experimental Social Psychology",Meta-analysis of 94 independent tests: forming if-then implementation intentions had a medium-to-large effect (d=.65) on goal attainment.,"The foundational meta-analysis of the exact construct (specifying when/where/how) shows a sizeable effect on behavior, strongly supporting a Moderate-to-Strong rating.",https://doi.org/10.1016/S0065-2601(06)38002-1,https://consensus.app/papers/details/5f23556f39a35b74957933d9aac4c90f/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+action+planning+behavior+change+meta-analysis&utm_source=claude_code&mode=quick
Action planning,"Specify exactly when, where, how, and with what materials you will act.",Moderate-to-Strong,Backup 1,"Sheeran et al., 2024, European Review of Social Psychology","Meta-analysis of 642 tests: implementation intentions improved cognitive, affective, and behavioural outcomes (.27<=d<=.66), largest with if-then format and rehearsal.","A large, recent meta-analysis confirms the effect and identifies that the contingent (if-then) format used in action planning maximizes efficacy.",,https://consensus.app/papers/details/5f9f7367e3d95edca818b636686bbd2d/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+action+planning+behavior+change+meta-analysis&utm_source=claude_code&mode=quick
Action planning,"Specify exactly when, where, how, and with what materials you will act.",Moderate-to-Strong,Backup 2,"da Silva et al., 2018, PLoS ONE","Meta-analysis of 13 RCTs: implementation-intention reinforcement increased physical activity (SMD=0.25, 95% CI 0.05–0.45) versus controls.","An RCT-only meta-analysis demonstrates that action planning produces real behavior change in an applied health domain, reinforcing the rating.",https://doi.org/10.1371/journal.pone.0206294,https://consensus.app/papers/details/aa6481d6c7e65c42baa31db56bea1ad7/?utm_source=claude_code,https://consensus.app/search/new?q=implementation+intentions+action+planning+behavior+change+meta-analysis&utm_source=claude_code&mode=quick
Temptation bundling,Pair a beneficial task with an indulgence you only allow during that task.,Moderate-to-Strong,Primary,"Milkman et al., 2014, Management Science",RCT field experiment: gym-only access to tempting audiobooks raised gym visits 51% (full) and 29% (intermediate) vs control; 61% later paid for the commitment device.,"The seminal randomized field experiment defining and testing temptation bundling shows large initial behavior gains, directly supporting a Moderate-to-Strong rating.",https://doi.org/10.1287/mnsc.2013.1784,https://consensus.app/papers/details/b4aeaceaa02a54eab1d4b277bb196a7e/?utm_source=claude_code,https://consensus.app/search/new?q=temptation+bundling+exercise+habit+formation+field+experiment&utm_source=claude_code&mode=quick
Temptation bundling,Pair a beneficial task with an indulgence you only allow during that task.,Moderate-to-Strong,Backup 1,"Kirgios et al., 2020, Organizational Behavior and Human Decision Processes","RCT (N=6,792): teaching temptation bundling plus audiobooks boosted weekly workouts 10–12% during and up to 17 weeks post-intervention.","A large, well-powered RCT replicates and extends the effect over a sustained follow-up, strengthening confidence in the technique.",https://doi.org/10.1016/j.obhdp.2020.03.002,https://consensus.app/papers/details/f3f81f6d3d6759dcadd5d077f099f9d2/?utm_source=claude_code,https://consensus.app/search/new?q=temptation+bundling+exercise+habit+formation+field+experiment&utm_source=claude_code&mode=quick
Tiny Habits,"Shrink the behavior until it feels easy, perform it after a cue, and briefly celebrate completion.",Moderate-to-Strong,Primary,"Keller et al., 2021, British Journal of Health Psychology",RCT (N=192): linking a small everyday behavior to a routine or time cue and repeating it built automaticity; repeated cue-based enactment was the key predictor.,"An RCT directly testing cue-anchored repetition of a small behavior (the core of Tiny Habits) shows habit/automaticity gains, supporting a Moderate-to-Strong rating.",https://doi.org/10.1111/bjhp.12504,https://consensus.app/papers/details/b9aaa8be51fc5b939fddb1429fbbdc66/?utm_source=claude_code,https://consensus.app/search/new?q=habit+formation+small+behavior+repetition+automaticity+randomized+controlled+trial&utm_source=claude_code&mode=quick
Tiny Habits,"Shrink the behavior until it feels easy, perform it after a cue, and briefly celebrate completion.",Moderate-to-Strong,Backup 1,"Ma et al., 2023, Int. J. Behavioral Nutrition and Physical Activity","Meta-analysis of 10 studies: habit-formation interventions significantly increased habit strength (SMD=0.31, 95% CI 0.14–0.48).","A meta-analysis of the underlying habit-formation mechanism confirms that cue-based repetition reliably builds automaticity, supporting the rating.",https://doi.org/10.1186/s12966-023-01493-3,https://consensus.app/papers/details/dd021c716e2b5522b20402ce58c0087d/?utm_source=claude_code,https://consensus.app/search/new?q=temptation+bundling+exercise+habit+formation+field+experiment&utm_source=claude_code&mode=quick
GTD capture,"Put every open loop into one trusted inbox, clarify the next action, and review it regularly.",Moderate-to-Strong,Primary,"Uhlig et al., 2023, Journal of Occupational and Organizational Psychology","Field experiment (208 people, 947 weekly entries): manipulating weekly planning reduced unfinished tasks and rumination and increased cognitive flexibility.","A randomized field experiment shows that capturing and planning open tasks reduces mental preoccupation and unfinished-task load, the core claimed benefit of GTD capture.",https://doi.org/10.1111/joop.12430,https://consensus.app/papers/details/a4179736e17f56f7aeddeaf3a9d45847/?utm_source=claude_code,https://consensus.app/search/new?q=making+plans+for+unfinished+goals+reduces+intrusive+thoughts+cognitive+interference&utm_source=claude_code&mode=quick
GTD capture,"Put every open loop into one trusted inbox, clarify the next action, and review it regularly.",Moderate-to-Strong,Backup 1,"Masicampo & Baumeister, 2011, Journal of Experimental Social Psychology","Five experiments: unfulfilled goals impaired executive-function tasks (anagrams, impulse control); effects vanished once the goal was fulfilled.","Establishes the mechanism (open loops consume cognitive resources via the Zeigarnik effect) that GTD capture targets, supporting why externalizing open loops helps.",https://doi.org/10.1016/j.jesp.2010.10.011,https://consensus.app/papers/details/4f6c620fbfa553f7b717eca16e96b419/?utm_source=claude_code,https://consensus.app/search/new?q=unfulfilled+goals+intrusive+thoughts+plan+making+Zeigarnik+offloading+task+completion&utm_source=claude_code&mode=quick
Environmental design,Change your surroundings so the desired behavior is easy and the undesired behavior is inconvenient.,Moderate-to-Strong,Primary,"Mertens et al., 2022, PNAS","Meta-analysis of 200+ studies (450+ effect sizes, N~2.1M): choice-architecture/nudge interventions changed behavior with d=0.43–0.45; decision-structure nudges strongest.","A very large meta-analysis of choice-architecture interventions (restructuring the environment to ease desired choices) shows a reliable moderate effect, supporting the rating.",https://doi.org/10.1073/pnas.2107346118,https://consensus.app/papers/details/a18522d5c07f581fabbe8a50e1e30897/?utm_source=claude_code,https://consensus.app/search/new?q=choice+architecture+nudge+food+environment+behavior+change+systematic+review+meta-analysis&utm_source=claude_code&mode=quick
Environmental design,Change your surroundings so the desired behavior is easy and the undesired behavior is inconvenient.,Moderate-to-Strong,Backup 1,"Broers et al., 2017, European Journal of Public Health","Meta-analysis (14 studies): nudging choice architecture increased fruit/vegetable choice (d=0.30), with placement changes most effective (d=0.39).","Shows that altering the physical environment (e.g., placement/positioning) reliably shifts behavior, a concrete instance of environmental design supporting the rating.",https://doi.org/10.1093/eurpub/ckx085,https://consensus.app/papers/details/9cab0136bbdb5446a95116868d3c9d3f/?utm_source=claude_code,https://consensus.app/search/new?q=choice+architecture+nudge+food+environment+behavior+change+systematic+review+meta-analysis&utm_source=claude_code&mode=quick
Values clarification,Write the life domains that matter most and choose actions aligned with them.,Moderate-to-Strong,Primary,"Epton et al., 2015, Health Psychology","Meta-analysis of 144 experiments: reflecting on important values (self-affirmation) had small but reliable effects on message acceptance, intentions, and behavior (d=.32).","A large meta-analysis of the values-reflection construct shows consistent positive effects on behavior, supporting a Moderate-to-Strong rating; effects are small in magnitude.",https://doi.org/10.1037/hea0000116,https://consensus.app/papers/details/fad6f52bc7fa54d18c0092b4e9e7b219/?utm_source=claude_code,https://consensus.app/search/new?q=self-affirmation+values+theory+meta-analysis+health+behavior+effect&utm_source=claude_code&mode=quick
Values clarification,Write the life domains that matter most and choose actions aligned with them.,Moderate-to-Strong,Backup 1,"Yan et al., 2023, Applied Psychology: Health and Well-Being","Large RCT (N=2,234 adolescents): a values-affirmation writing intervention improved life satisfaction, mental health, and self-esteem versus control.","A large RCT of writing about core values shows direct well-being benefits, matching the technique and reinforcing the rating despite null effects on clinical measures.",https://doi.org/10.1111/aphw.12397,https://consensus.app/papers/details/5e9eb8b801a058c38a8d6141639c7684/?utm_source=claude_code,https://consensus.app/search/new?q=values+affirmation+clarification+intervention+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick
Cognitive defusion,"Label thoughts as thoughts, such as 'I'm having the thought that…,' instead of treating them as commands.",Moderate-to-Strong,Primary,"Larsson et al., 2016, Behavior Modification",5-day RCT: a cognitive defusion strategy reduced believability and discomfort of negative thoughts and cut their frequency more than restructuring or control.,"A randomized comparison directly testing the defusion technique (relating to thoughts as thoughts) shows superiority over control, supporting a Moderate-to-Strong rating.",https://doi.org/10.1177/0145445515621488,https://consensus.app/papers/details/2744f2db522e5ae2ab762ab85bddeac6/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+defusion+meta-analysis+efficacy+negative+thoughts+comparison&utm_source=claude_code&mode=quick
Cognitive defusion,"Label thoughts as thoughts, such as 'I'm having the thought that…,' instead of treating them as commands.",Moderate-to-Strong,Backup 1,"Masuda et al., 2004, Behaviour Research and Therapy",Eight single-case alternating-treatment designs: a word-repetition defusion technique reduced discomfort and believability of negative thoughts more than distraction or thought control.,"A controlled, oft-cited dismantling study isolates defusion and shows it specifically lowers thought believability, supporting the technique's efficacy.",https://doi.org/10.1016/j.brat.2003.10.008,https://consensus.app/papers/details/b5565da50f42542b945950cc415a301d/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+defusion+meta-analysis+efficacy+negative+thoughts+comparison&utm_source=claude_code&mode=quick
Cognitive defusion,"Label thoughts as thoughts, such as 'I'm having the thought that…,' instead of treating them as commands.",Moderate-to-Strong,Backup 2,"Ritzert et al., 2015, Journal of Contextual Behavioral Science",RCT (N=65 spider-fearful): a defusion intervention produced greater reductions in thought believability and more flexible responding than distraction or control.,"A randomized experiment shows defusion reduces thought believability and increases psychological flexibility, the proposed mechanism behind the rating.",https://doi.org/10.1016/j.jcbs.2015.04.001,https://consensus.app/papers/details/130a3565366c51fabad170d41ef7e9ed/?utm_source=claude_code,https://consensus.app/search/new?q=cognitive+defusion+acceptance+commitment+therapy+believability+distress+experimental&utm_source=claude_code&mode=quick
Gratitude journaling,Write three specific things you feel grateful for each day.,Moderate-to-Strong,Primary,"Cregg & Cheavens, 2021, Journal of Happiness Studies","Meta-analysis (k=27, N=3,675): gratitude interventions had small effects on depression (g=-0.29) and anxiety symptoms at post-test, sustained at follow-up.","A meta-analysis of the exact construct (writing gratitude lists) shows reliable, if modest, symptom reductions, honestly supporting a Moderate-to-Strong rating.",https://doi.org/10.1007/s10902-020-00236-6,https://consensus.app/papers/details/e2475b08dcd65667bfaf4723b99b409d/?utm_source=claude_code,https://consensus.app/search/new?q=gratitude+interventions+meta-analysis+wellbeing+depression+effect+size&utm_source=claude_code&mode=quick
Gratitude journaling,Write three specific things you feel grateful for each day.,Moderate-to-Strong,Backup 1,"Cunha et al., 2019, Frontiers in Psychology","RCT (N=1,337): writing daily gratitude lists for 14 days increased positive affect, happiness, and life satisfaction and reduced negative affect and depression.","A large RCT of daily gratitude-list writing (the exact technique) shows broad well-being gains, strengthening the evidence for the rating.",https://doi.org/10.3389/fpsyg.2019.00584,https://consensus.app/papers/details/c0e88ad48a5f5df694fa888cd8891342/?utm_source=claude_code,https://consensus.app/search/new?q=gratitude+intervention+counting+blessings+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick
Gratitude journaling,Write three specific things you feel grateful for each day.,Moderate-to-Strong,Backup 2,"Lai & O'Carroll, 2017, Health Psychology Update",RCT (N=108): a 21-day daily gratitude journal ('three good things') increased state gratitude and positive affect versus a no-activity control.,"A randomized trial of the specific 'three good things' journaling format shows affect and gratitude gains, closely matching the technique and supporting the rating.",https://doi.org/10.53841/bpshpu.2017.26.1.10,https://consensus.app/papers/details/4a3585a5692b5e16a6446485c608f1a0/?utm_source=claude_code,https://consensus.app/search/new?q=gratitude+intervention+counting+blessings+wellbeing+randomized+controlled+trial&utm_source=claude_code&mode=quick
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).",Moderate-to-Strong,Primary,"Seligman et al., 2005, American Psychologist",6-group placebo-controlled internet RCT; the Three Good Things exercise lastingly increased happiness and decreased depressive symptoms for 6 months.,"This is the foundational randomized, placebo-controlled trial that defined and validated the exact 'three good things' exercise, directly supporting a Moderate-to-Strong ranking.",https://doi.org/10.1037/0003-066X.60.5.410,https://consensus.app/papers/details/0098413b3afd53218ccc0a0020e20bd4/?utm_source=claude_code,https://consensus.app/search/new?q=Seligman+positive+psychology+progress+empirical+validation+interventions+three+good+things+gratitude+visit&utm_source=claude_code&mode=quick
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).",Moderate-to-Strong,Backup 1,"Gold et al., 2023, Annals of Family Medicine","RCT, N=223 health care workers; a texted 'Three Good Things' practice produced small but significant gains in positive affect at 3 months.","A modern, well-retained RCT replicating the specific 3GT protocol in a real-world sample, reinforcing the technique's efficacy with realistic (modest) effects.",https://doi.org/10.1370/afm.2963,https://consensus.app/papers/details/fa3bf25cee4d5479a4cb4466b72557c9/?utm_source=claude_code,https://consensus.app/search/new?q=Three+Good+Things+gratitude+intervention+well-being+depression+randomized+controlled+trial&utm_source=claude_code&mode=quick
Three Good Things,"Each evening, list three good events from the day and your role in them (or why they happened).",Moderate-to-Strong,Backup 2,"Lai & O'Carroll, 2017, Health Psychology Update","RCT, N=108; a 21-day 'three good things' gratitude journal raised state gratitude and positive affect vs. control, which declined.","A dedicated RCT of the exact daily journaling format showing affect benefits, adding independent confirmation across a non-clinical sample.",,https://consensus.app/papers/details/4a3585a5692b5e16a6446485c608f1a0/?utm_source=claude_code,https://consensus.app/search/new?q=Three+Good+Things+gratitude+intervention+well-being+depression+randomized+controlled+trial&utm_source=claude_code&mode=quick
Process visualization,"Mentally rehearse the steps, obstacles, and responses rather than only the desired outcome.",Moderate-to-Strong,Primary,"Lindsay et al., 2021, Physical Education & Sport Pedagogy","SR/MA, 36 studies / 1,449 participants; mental imagery improves performance g=0.476 (imagery+physical 0.579; imagery alone 0.298).","Construct-matched to process rehearsal (motor imagery, not outcome fantasy) with a moderate effect on real performance — direct, on-target support justifying a strong-but-not-top tier.",https://doi.org/10.1080/17408989.2021.1991297,https://consensus.app/papers/details/fc831c39fd3b517794d0c33db9a82c2b/?utm_source=claude_code,https://consensus.app/search/new?q=motor+imagery+mental+practice+rehearsal+motor+skill+performance+meta-analysis&utm_source=claude_code&mode=quick
Process visualization,"Mentally rehearse the steps, obstacles, and responses rather than only the desired outcome.",Moderate-to-Strong,Backup 1,"Toth et al., 2020, Psychology of Sport & Exercise",Methodological replication of Driskell (1994); 37 studies; small but robust positive effect (r=0.131) after publication-bias correction.,"A deliberately skeptical, bias-corrected replication still finds a reliable effect; the modest residual size is exactly why Moderate-to-Strong rather than Strong is the honest call.",https://doi.org/10.1016/j.psychsport.2020.101672,https://consensus.app/papers/details/45720edbab275a8c8f797458cba2ef55/?utm_source=claude_code,https://consensus.app/search/new?q=motor+imagery+mental+practice+rehearsal+motor+skill+performance+meta-analysis&utm_source=claude_code&mode=quick
Process visualization,"Mentally rehearse the steps, obstacles, and responses rather than only the desired outcome.",Moderate-to-Strong,Backup 2,"Simonsmeier et al., 2020, Int. Review of Sport & Exercise Psychology",MA of imagery interventions; medium effect d=0.431; imagery + physical practice beats physical alone.,Independent MA reaches a similar medium effect and shows imagery adds value over physical practice alone — convergent evidence across reviews supports the ranking.,https://doi.org/10.1080/1750984X.2020.1780627,https://consensus.app/papers/details/b652e3a02dd05018988848ffcc9c8bdb/?utm_source=claude_code,https://consensus.app/search/new?q=motor+imagery+practice+effectiveness+Driskell+mental+practice+performance+enhancement&utm_source=claude_code&mode=quick
Assertiveness scripts,"State the facts, your feeling, your request, and your boundary in calm direct language.",Moderate-to-Strong,Primary,"Hagberg et al., 2023, Internet Interventions","RCT, N=210; an 8-week assertiveness training produced large gains in adaptive assertiveness (ES 0.95–1.73) sustained at 1-year follow-up.","A preregistered RCT targeting the assertiveness construct directly, with large, durable effect sizes and reduced social anxiety, strongly supporting the ranking.",https://doi.org/10.1016/j.invent.2023.100629,https://consensus.app/papers/details/1ee4e00544bd50eeaa2bd63f175966b6/?utm_source=claude_code,https://consensus.app/search/new?q=assertiveness+training+intervention+randomized+controlled+trial+outcomes+meta-analysis&utm_source=claude_code&mode=quick
Assertiveness scripts,"State the facts, your feeling, your request, and your boundary in calm direct language.",Moderate-to-Strong,Backup 1,"Chen et al., 2023, Nurse Education Today","Systematic review & meta-analysis, 9 studies/N=804; assertive communication training improved speaking-up behaviors (SMD=0.58, 95% CI 0.14–1.03).","A meta-analysis showing structured assertiveness scripting measurably changes real assertive behavior, adding higher-tier evidence in an applied domain.",https://doi.org/10.1016/j.nedt.2023.105782,https://consensus.app/papers/details/e978b1c084215239b50629f0c12cce7e/?utm_source=claude_code,https://consensus.app/search/new?q=assertiveness+training+intervention+randomized+controlled+trial+outcomes+meta-analysis&utm_source=claude_code&mode=quick
Active listening,Reflect the other person's point and emotion before offering advice or disagreement.,Moderate-to-Strong,Primary,"Weger et al., 2014, International Journal of Listening","Experiment, N=115; partners receiving active-listening responses (paraphrase/reflect) felt significantly more understood than those given advice or acknowledgement.","A controlled experiment isolating the exact reflect-before-responding behavior and showing it causally increases feeling understood, directly on-construct.",https://doi.org/10.1080/10904018.2013.813234,https://consensus.app/papers/details/72e91313d90b5c5da4cd4c77805f4a35/?utm_source=claude_code,https://consensus.app/search/new?q=active+listening+training+meta-analysis+effectiveness+interpersonal+outcomes&utm_source=claude_code&mode=quick
Active listening,Reflect the other person's point and emotion before offering advice or disagreement.,Moderate-to-Strong,Backup 1,"Bodie et al., 2015, Western Journal of Communication","RCT-style experiment, N=171; trained active listeners (open questions, paraphrase, reflect feelings) drove greater discloser emotional improvement.","Randomized assignment to trained vs. untrained listeners shows the specific reflecting techniques improve emotional outcomes, supporting causal efficacy.",https://doi.org/10.1080/10570314.2014.943429,https://consensus.app/papers/details/2e8efb8144085d519965a1926ee47391/?utm_source=claude_code,https://consensus.app/search/new?q=active+listening+communication+intervention+empathic+listening+effects+randomized&utm_source=claude_code&mode=quick
